Date,Gas Price,percentChange,change,,,
06/05/13,63.21,-1.280649695,-0.82,,,
13/05/13,64.74,2.420503085,1.53,,,
20/05/13,65.64,1.390176089,0.9,,,
27/05/13,65.13,-0.776965265,-0.51,,,
03/06/13,63.07,-3.162904959,-2.06,,,
10/06/13,64.74,2.647851593,1.67,,,
17/06/13,63.09,-2.548656163,-1.65,,,
24/06/13,65.02,3.059121889,1.93,,,
01/07/13,65.38,0.553675792,0.36,,,
08/07/13,65.48,0.152951973,0.1,,,
15/07/13,65.48,0,0,,,
22/07/13,65.97,0.748320098,0.49,,,
29/07/13,65.15,-1.242989238,-0.82,,,
05/08/13,65.33,0.276285495,0.18,,,
12/08/13,64.06,-1.943976734,-1.27,,,
19/08/13,63.75,-0.483921324,-0.31,,,
28/08/13,65.19,2.258823529,1.44,,,
02/09/13,66.49,1.994170885,1.3,,,
09/09/13,66.41,-0.120318845,-0.08,,,
16/09/13,66.24,-0.255985544,-0.17,,,
23/09/13,65.74,-0.754830918,-0.5,,,
30/09/13,68.24,3.802859751,2.5,,,
07/10/13,69.74,2.198124267,1.5,,,
14/10/13,68.95,-1.132778893,-0.79,,,
21/10/13,69.02,0.101522843,0.07,,,
28/10/13,69.87,1.231527094,0.85,,,
04/11/13,70.09,0.314870474,0.22,,,
11/11/13,72.38,3.26722785,2.29,,,
18/11/13,70.15,-3.080961592,-2.23,,,
25/11/13,71.59,2.05274412,1.44,,,r
02/12/13,71.67,0.111747451,0.08,,,
09/12/13,70.45,-1.702246407,-1.22,,,
16/12/13,70.4,-0.070972321,-0.05,,,
23/12/13,70.36,-0.056818182,-0.04,,,
30/12/13,68,-3.354178511,-2.36,,,
06/01/14,67.38,-0.911764706,-0.62,,,
13/01/14,65.89,-2.211338676,-1.49,,,
20/01/14,66.49,0.91060859,0.6,,,
27/01/14,61.12,-8.076402467,-5.37,,,
03/02/14,61.05,-0.114528796,-0.07,,,
10/02/14,58.46,-4.242424242,-2.59,,,
17/02/14,58.04,-0.718439959,-0.42,,,
24/02/14,56.15,-3.256374914,-1.89,,,
03/03/14,59.64,6.215494212,3.49,,,
10/03/14,59.02,-1.039570758,-0.62,,,
17/03/14,55.54,-5.896306337,-3.48,,,
24/03/14,52.5,-5.473532589,-3.04,,,
31/03/14,48.46,-7.695238095,-4.04,,,
07/04/14,52.1,7.511349567,3.64,,,
14/04/14,50.67,-2.744721689,-1.43,,,
21/04/14,49,-3.2958358,-1.67,,,
28/04/14,47.15,-3.775510204,-1.85,,,
05/05/14,46.12,-2.184517497,-1.03,,,
12/05/14,44.28,-3.989592368,-1.84,,,
19/05/14,44.51,0.519421861,0.23,,,
26/05/14,44.14,-0.831273871,-0.37,,,
02/06/14,39.51,-10.48935206,-4.63,,,
09/06/14,41.86,5.947861301,2.35,,,
16/06/14,39.99,-4.467271859,-1.87,,,
23/06/14,39.12,-2.175543886,-0.87,,,
30/06/14,36.51,-6.671779141,-2.61,,,
07/07/14,35.57,-2.574637086,-0.94,,,
14/07/14,38.6,8.518414394,3.03,,,
21/07/14,41.31,7.020725389,2.71,,,
28/07/14,40.79,-1.258775115,-0.52,,,
04/08/14,41.39,1.470948762,0.6,,,
11/08/14,44.82,8.287025852,3.43,,,
18/08/14,42.04,-6.20258813,-2.78,,,
25/08/14,51.1,21.5509039,9.06,,,
01/09/14,50.64,-0.900195695,-0.46,,,
08/09/14,49.59,-2.073459716,-1.05,,,
15/09/14,51.43,3.710425489,1.84,,,
22/09/14,50.56,-1.691619677,-0.87,,,
29/09/14,55.08,8.939873418,4.52,,,
06/10/14,55.02,-0.108932462,-0.06,,,
13/10/14,54.01,-1.835696111,-1.01,,,
20/10/14,53.27,-1.370116645,-0.74,,,
27/10/14,54.07,1.501783368,0.8,,,
03/11/14,55.08,1.867948955,1.01,,,
10/11/14,53.74,-2.432824982,-1.34,,,
17/11/14,56.12,4.428730927,2.38,,,
24/11/14,58.27,3.831076265,2.15,,,
01/12/14,55.51,-4.736571134,-2.76,,,
08/12/14,54.48,-1.855521528,-1.03,,,
15/12/14,53.56,-1.688693098,-0.92,,,
22/12/14,54.05,0.914861837,0.49,,,
29/12/14,47.99,-11.21184089,-6.06,,,
05/01/15,46.14,-3.854969785,-1.85,,,
12/01/15,45.75,-0.845253576,-0.39,,,
19/01/15,44.53,-2.666666667,-1.22,,,
26/01/15,45.86,2.986750505,1.33,,,
02/02/15,47.17,2.856519843,1.31,,,
09/02/15,53.12,12.61394954,5.95,,,
16/02/15,49.28,-7.228915663,-3.84,,,
23/02/15,50.03,1.521915584,0.75,,,
02/03/15,45.22,-9.614231461,-4.81,,,
09/03/15,46.55,2.941176471,1.33,,,
16/03/15,46.05,-1.074113856,-0.5,,,
23/03/15,48.16,4.581976113,2.11,,,
30/03/15,47.14,-2.117940199,-1.02,,,
06/04/15,46.11,-2.184980908,-1.03,,,
13/04/15,44.4,-3.708523097,-1.71,,,
20/04/15,44.23,-0.382882883,-0.17,,,
27/04/15,41.86,-5.358354058,-2.37,,,
04/05/15,41.98,0.286669852,0.12,,,
11/05/15,42.57,1.405431158,0.59,,,
18/05/15,41.44,-2.654451492,-1.13,,,
25/05/15,41.89,1.085907336,0.45,,,
01/06/15,42.55,1.575555025,0.66,,,
08/06/15,42.3,-0.587544066,-0.25,,,
15/06/15,42.46,0.378250591,0.16,,,
22/06/15,42.36,-0.23551578,-0.1,,,
29/06/15,43.14,1.841359773,0.78,,,
06/07/15,43.98,1.947148818,0.84,,,
13/07/15,42.91,-2.432924056,-1.07,,,
20/07/15,42.01,-2.09741319,-0.9,,,
27/07/15,42.35,0.809331112,0.34,,,
03/08/15,40.66,-3.9905549,-1.69,,,
10/08/15,40.04,-1.524840138,-0.62,,,
17/08/15,38.78,-3.146853147,-1.26,,,
24/08/15,40.88,5.415162455,2.1,,,
31/08/15,41.4,1.272015656,0.52,,,
07/09/15,41.39,-0.024154589,-0.01,,,
14/09/15,40.64,-1.812031892,-0.75,,,
21/09/15,40.53,-0.270669291,-0.11,,,
28/09/15,41.1,1.406365655,0.57,,,
05/10/15,42.11,2.457420925,1.01,,,
12/10/15,40.36,-4.155782474,-1.75,,,
19/10/15,39.7,-1.635282458,-0.66,,,
26/10/15,39.45,-0.629722922,-0.25,,,
02/11/15,39.14,-0.785804816,-0.31,,,
09/11/15,36.9,-5.723045478,-2.24,,,
16/11/15,36.87,-0.081300813,-0.03,,,
23/11/15,37.33,1.247626797,0.46,,,
30/11/15,38.4,2.866327351,1.07,,,
07/12/15,35.9,-6.510416667,-2.5,,,
14/12/15,33.93,-5.487465181,-1.97,,,
21/12/15,32.46,-4.33244916,-1.47,,,
28/12/15,33.13,2.064078866,0.67,,,
04/01/16,34.07,2.837307576,0.94,,,
11/01/16,31.38,-7.895509246,-2.69,,,
18/01/16,31.11,-0.86042065,-0.27,,,
25/01/16,30.59,-1.671488267,-0.52,,,
