Date,Pump price in pence/litre (ULSP),Pump price in pence/litre (ULSD),Duty rate in pence/litre (ULSP),Duty rate in pence/litre (ULSD),VAT percentage rate (ULSP),VAT percentage rate (ULSD)
06/05/13,133.42,138.54,57.95,57.95,20,20
13/05/13,133.12,138.27,57.95,57.95,20,20
20/05/13,133.17,138.42,57.95,57.95,20,20
27/05/13,133.64,138.82,57.95,57.95,20,20
03/06/13,134.04,139.17,57.95,57.95,20,20
10/06/13,134.3,139.43,57.95,57.95,20,20
17/06/13,134.46,139.54,57.95,57.95,20,20
24/06/13,134.52,139.64,57.95,57.95,20,20
01/07/13,133.44,138.51,57.95,57.95,20,20
08/07/13,133.77,138.73,57.95,57.95,20,20
15/07/13,134.95,139.84,57.95,57.95,20,20
22/07/13,136.04,140.72,57.95,57.95,20,20
29/07/13,136.87,141.44,57.95,57.95,20,20
05/08/13,137.02,141.67,57.95,57.95,20,20
12/08/13,137.13,141.82,57.95,57.95,20,20
19/08/13,137,141.73,57.95,57.95,20,20
28/08/13,136.83,141.78,57.95,57.95,20,20
02/09/13,137.14,142.09,57.95,57.95,20,20
09/09/13,137.6,142.67,57.95,57.95,20,20
16/09/13,137.47,142.52,57.95,57.95,20,20
23/09/13,136.95,142.09,57.95,57.95,20,20
30/09/13,133.4,140.19,57.95,57.95,20,20
07/10/13,131.62,138.83,57.95,57.95,20,20
14/10/13,131.67,139.15,57.95,57.95,20,20
21/10/13,131.53,138.99,57.95,57.95,20,20
28/10/13,131.42,138.88,57.95,57.95,20,20
04/11/13,129.92,137.51,57.95,57.95,20,20
11/11/13,129.71,137.32,57.95,57.95,20,20
18/11/13,129.89,137.47,57.95,57.95,20,20
25/11/13,130.03,137.72,57.95,57.95,20,20
02/12/13,130.25,137.9,57.95,57.95,20,20
09/12/13,130.76,138.55,57.95,57.95,20,20
16/12/13,130.96,138.84,57.95,57.95,20,20
23/12/13,130.05,138.17,57.95,57.95,20,20
30/12/13,130.03,137.98,57.95,57.95,20,20
06/01/14,130.26,138.11,57.95,57.95,20,20
13/01/14,130.36,138.34,57.95,57.95,20,20
20/01/14,129.37,137.23,57.95,57.95,20,20
27/01/14,129.02,136.94,57.95,57.95,20,20
03/02/14,128.85,136.84,57.95,57.95,20,20
10/02/14,128.81,136.84,57.95,57.95,20,20
17/02/14,129.16,136.81,57.95,57.95,20,20
24/02/14,129.2,136.95,57.95,57.95,20,20
03/03/14,129.36,137.15,57.95,57.95,20,20
10/03/14,129.39,137.08,57.95,57.95,20,20
17/03/14,128.76,136.27,57.95,57.95,20,20
24/03/14,128.57,136,57.95,57.95,20,20
31/03/14,128.76,135.89,57.95,57.95,20,20
07/04/14,128.71,136.01,57.95,57.95,20,20
14/04/14,128.89,136.05,57.95,57.95,20,20
21/04/14,129.11,136.12,57.95,57.95,20,20
28/04/14,129.09,135.93,57.95,57.95,20,20
05/05/14,129.27,136.16,57.95,57.95,20,20
12/05/14,129.5,136.37,57.95,57.95,20,20
19/05/14,129.42,136.17,57.95,57.95,20,20
26/05/14,129.51,136.36,57.95,57.95,20,20
02/06/14,129.63,136.38,57.95,57.95,20,20
09/06/14,129.69,136.04,57.95,57.95,20,20
16/06/14,129.88,135.54,57.95,57.95,20,20
23/06/14,130.14,135.5,57.95,57.95,20,20
30/06/14,130.69,136.04,57.95,57.95,20,20
07/07/14,131.1,136.22,57.95,57.95,20,20
14/07/14,131.11,136.17,57.95,57.95,20,20
21/07/14,131.04,135.69,57.95,57.95,20,20
28/07/14,130.83,135.5,57.95,57.95,20,20
04/08/14,129.63,134.31,57.95,57.95,20,20
11/08/14,129.41,133.85,57.95,57.95,20,20
18/08/14,129.29,133.74,57.95,57.95,20,20
25/08/14,128.34,133.16,57.95,57.95,20,20
01/09/14,128.01,132.77,57.95,57.95,20,20
08/09/14,128.34,133.09,57.95,57.95,20,20
15/09/14,128.43,133.13,57.95,57.95,20,20
22/09/14,128.62,133.32,57.95,57.95,20,20
29/09/14,128.59,133.23,57.95,57.95,20,20
06/10/14,126.78,131.43,57.95,57.95,20,20
13/10/14,126.5,131.08,57.95,57.95,20,20
20/10/14,125.4,130,57.95,57.95,20,20
27/10/14,125.11,129.72,57.95,57.95,20,20
03/11/14,123.94,128.56,57.95,57.95,20,20
10/11/14,122.94,127.59,57.95,57.95,20,20
17/11/14,122.5,127.31,57.95,57.95,20,20
24/11/14,122.29,127.17,57.95,57.95,20,20
01/12/14,121.18,126.11,57.95,57.95,20,20
08/12/14,119.83,124.79,57.95,57.95,20,20
15/12/14,116.3,122.43,57.95,57.95,20,20
22/12/14,113.66,120.81,57.95,57.95,20,20
29/12/14,113.16,120.36,57.95,57.95,20,20
05/01/15,111.06,117.93,57.95,57.95,20,20
12/01/15,108.87,116.22,57.95,57.95,20,20
19/01/15,106.83,114.33,57.95,57.95,20,20
26/01/15,106.32,113.76,57.95,57.95,20,20
02/02/15,106.04,113.61,57.95,57.95,20,20
09/02/15,106.35,113.91,57.95,57.95,20,20
16/02/15,107.26,114.73,57.95,57.95,20,20
23/02/15,108.34,115.74,57.95,57.95,20,20
02/03/15,109.2,116.64,57.95,57.95,20,20
09/03/15,110.07,117.51,57.95,57.95,20,20
16/03/15,111.04,118.26,57.95,57.95,20,20
23/03/15,111.65,118.71,57.95,57.95,20,20
30/03/15,112.06,118.97,57.95,57.95,20,20
06/04/15,112.37,119.09,57.95,57.95,20,20
13/04/15,112.52,119.15,57.95,57.95,20,20
20/04/15,112.87,119.14,57.95,57.95,20,20
27/04/15,113.55,119.58,57.95,57.95,20,20
04/05/15,114.27,120,57.95,57.95,20,20
11/05/15,115.1,120.59,57.95,57.95,20,20
18/05/15,115.74,121.04,57.95,57.95,20,20
25/05/15,116.02,121.32,57.95,57.95,20,20
01/06/15,116.13,121.3,57.95,57.95,20,20
08/06/15,116.26,121.34,57.95,57.95,20,20
15/06/15,116.39,121.3,57.95,57.95,20,20
22/06/15,116.6,121.21,57.95,57.95,20,20
29/06/15,116.55,120.99,57.95,57.95,20,20
06/07/15,116.34,120.76,57.95,57.95,20,20
13/07/15,116.41,118.83,57.95,57.95,20,20
20/07/15,116.79,118.43,57.95,57.95,20,20
27/07/15,116.44,116.95,57.95,57.95,20,20
03/08/15,116.12,115.17,57.95,57.95,20,20
10/08/15,115.48,114.2,57.95,57.95,20,20
17/08/15,114.58,112.05,57.95,57.95,20,20
24/08/15,113.23,111.05,57.95,57.95,20,20
31/08/15,111.21,109.92,57.95,57.95,20,20
07/09/15,110.9,109.78,57.95,57.95,20,20
14/09/15,110.6,109.95,57.95,57.95,20,20
21/09/15,110.61,110.52,57.95,57.95,20,20
28/09/15,109.47,110.45,57.95,57.95,20,20
05/10/15,108.94,110.57,57.95,57.95,20,20
12/10/15,108.97,110.78,57.95,57.95,20,20
19/10/15,109.01,111.17,57.95,57.95,20,20
26/10/15,108.04,110.61,57.95,57.95,20,20
02/11/15,107.21,110.14,57.95,57.95,20,20
09/11/15,107.14,110.08,57.95,57.95,20,20
16/11/15,107.36,110.32,57.95,57.95,20,20
23/11/15,107.29,110.27,57.95,57.95,20,20
30/11/15,106.97,110.01,57.95,57.95,20,20
07/12/15,106.75,109.92,57.95,57.95,20,20
14/12/15,104,108.07,57.95,57.95,20,20
21/12/15,102.33,107.04,57.95,57.95,20,20
28/12/15,102.11,106.43,57.95,57.95,20,20
04/01/16,102,106.32,57.95,57.95,20,20
11/01/16,101.89,103.41,57.95,57.95,20,20
18/01/16,101.8,102.81,57.95,57.95,20,20
25/01/16,101.42,101.54,57.95,57.95,20,20
01/02/16,101.36,100.84,57.95,57.95,20,20
08/02/16,101.51,101.14,57.95,57.95,20,20
15/02/16,101.45,101.21,57.95,57.95,20,20
22/02/16,101.39,101.13,57.95,57.95,20,20
29/02/16,101.42,101.38,57.95,57.95,20,20
07/03/16,101.46,101.67,57.95,57.95,20,20
14/03/16,101.71,102.52,57.95,57.95,20,20
21/03/16,102.58,103.64,57.95,57.95,20,20
28/03/16,103.4,104.4,57.95,57.95,20,20
04/04/16,104.51,105.32,57.95,57.95,20,20
11/04/16,105.39,105.98,57.95,57.95,20,20
18/04/16,106.41,106.97,57.95,57.95,20,20
25/04/16,107.14,107.67,57.95,57.95,20,20
02/05/16,107.82,108.58,57.95,57.95,20,20
09/05/16,108.19,109,57.95,57.95,20,20
16/05/16,108.53,109.3,57.95,57.95,20,20
23/05/16,109.12,109.9,57.95,57.95,20,20
