Date,Inflation,,,,,,,,,,,,,,,,
06/05/13,2.70%,,,,,,,,,,,,,,,,
13/05/13,2.70%,,,,,,,,,,,,,,,,
20/05/13,2.70%,,,,,,,,,,,,,,,,
27/05/13,2.70%,,,,,,,,,,,,,,,,
03/06/13,2.92%,,,,,,,,,,,,,,,,
10/06/13,2.92%,,,,,,,,,,,,,,,,
17/06/13,2.92%,,,,,,,,,,,,,,,,
24/06/13,2.92%,,,,,,,,,,,,,,,,
01/07/13,2.77%,,,,,,,,,,,,,,,,
08/07/13,2.77%,,,,,,,,,,,,,,,,
15/07/13,2.77%,,,,,,,,,,,,,,,,
22/07/13,2.77%,,,,,,,,,,,,,,,,
29/07/13,2.77%,,,,,,,,,,,,,,,,
05/08/13,2.69%,,,,,,,,,,,,,,,,
12/08/13,2.69%,,,,,,,,,,,,,,,,
19/08/13,2.69%,,,,,,,,,,,,,,,,
28/08/13,2.69%,,,,,,,,,,,,,,,,
02/09/13,2.67%,,,,,,,,,,,,,,,,
09/09/13,2.67%,,,,,,,,,,,,,,,,
16/09/13,2.67%,,,,,,,,,,,,,,,,
23/09/13,2.67%,,,,,,,,,,,,,,,,
30/09/13,2.67%,,,,,,,,,,,,,,,,
07/10/13,2.19%,,,,,,,,,,,,,,,,
14/10/13,2.19%,,,,,,,,,,,,,,,,
21/10/13,2.19%,,,,,,,,,,,,,,,,
28/10/13,2.19%,,,,,,,,,,,,,,,,
04/11/13,2.08%,,,,,,,,,,,,,,,,
11/11/13,2.08%,,,,,,,,,,,,,,,,
18/11/13,2.08%,,,,,,,,,,,,,,,,
25/11/13,2.08%,,,,,,,,,,,,,,,,
02/12/13,2.03%,,,,,,,,,,,,,,,,
09/12/13,2.03%,,,,,,,,,,,,,,,,
16/12/13,2.03%,,,,,,,,,,,,,,,,
23/12/13,2.03%,,,,,,,,,,,,,,,,
30/12/13,2.03%,,,,,,,,,,,,,,,,
06/01/14,1.89%,,,,,,,,,,,,,,,,
13/01/14,1.89%,,,,,,,,,,,,,,,,
20/01/14,1.89%,,,,,,,,,,,,,,,,
27/01/14,1.89%,,,,,,,,,,,,,,,,
03/02/14,1.72%,,,,,,,,,,,,,,,,
10/02/14,1.72%,,,,,,,,,,,,,,,,
17/02/14,1.72%,,,,,,,,,,,,,,,,
